,Timestep 1,Timestep 2,Timestep 3,Timestep 4,Timestep 5,Timestep 6,Timestep 7,Timestep 8,Timestep 9,Timestep 10,Timestep 11,Timestep 12,Timestep 13,Timestep 14,Timestep 15,Timestep 16,Timestep 17,Timestep 18,Timestep 19,Timestep 20,Timestep 21,Timestep 22,Timestep 23,Timestep 24,Timestep 25,Timestep 26,Timestep 27,Timestep 28,Timestep 29,Timestep 30,Timestep 31,Timestep 32,Timestep 33,Timestep 34,Timestep 35,Timestep 36,Timestep 37,Timestep 38,Timestep 39,Timestep 40,Timestep 41,Timestep 42,Timestep 43,Timestep 44,Timestep 45,Timestep 46,Timestep 47,Timestep 48,Timestep 49,Timestep 50
T0000620.sel.02.upsweep.4.1.foraging_1,114,119.836734693878,125.673469387755,131.510204081633,137.34693877551,143.183673469388,149.020408163265,154.857142857143,160.69387755102,166.530612244898,172.367346938776,178.204081632653,184.040816326531,189.877551020408,195.714285714286,201.551020408163,207.387755102041,213.224489795918,219.061224489796,224.897959183673,230.734693877551,236.571428571429,242.408163265306,248.244897959184,254.081632653061,259.918367346939,265.755102040816,271.591836734694,277.428571428571,283.265306122449,289.102040816327,294.938775510204,300.775510204082,306.612244897959,312.448979591837,318.285714285714,324.122448979592,329.959183673469,335.795918367347,341.632653061224,347.469387755102,353.30612244898,359.142857142857,364.979591836735,370.816326530612,376.65306122449,382.489795918367,388.326530612245,394.163265306122,400
T0000620.sel.02.upsweep.4.1.foraging_1,583,586.551020408163,590.102040816327,593.65306122449,597.204081632653,600.755102040816,604.30612244898,607.857142857143,611.408163265306,614.959183673469,618.510204081633,622.061224489796,625.612244897959,629.163265306122,632.714285714286,636.265306122449,639.816326530612,643.367346938776,646.918367346939,650.469387755102,654.020408163265,657.571428571429,661.122448979592,664.673469387755,668.224489795918,671.775510204082,675.326530612245,678.877551020408,682.428571428571,685.979591836735,689.530612244898,693.081632653061,696.632653061224,700.183673469388,703.734693877551,707.285714285714,710.836734693878,714.387755102041,717.938775510204,721.489795918367,725.040816326531,728.591836734694,732.142857142857,735.69387755102,739.244897959184,742.795918367347,746.34693877551,749.897959183673,753.448979591837,757
T0000620.sel.01.upsweep.3.1.foraging_1,131,135.224489795918,139.448979591837,143.673469387755,147.897959183673,152.122448979592,156.34693877551,160.571428571429,164.795918367347,169.020408163265,173.244897959184,177.469387755102,181.69387755102,185.918367346939,190.142857142857,194.367346938776,198.591836734694,202.816326530612,207.040816326531,211.265306122449,215.489795918367,219.714285714286,223.938775510204,228.163265306122,232.387755102041,236.612244897959,240.836734693878,245.061224489796,249.285714285714,253.510204081633,257.734693877551,261.959183673469,266.183673469388,270.408163265306,274.632653061224,278.857142857143,283.081632653061,287.30612244898,291.530612244898,295.755102040816,299.979591836735,304.204081632653,308.428571428571,312.65306122449,316.877551020408,321.102040816327,325.326530612245,329.551020408163,333.775510204082,338
T0000619.sel.01.constant.4.1.foraging_1,110,118.877551020408,127.755102040816,136.632653061224,145.510204081633,154.387755102041,163.265306122449,172.142857142857,181.020408163265,189.897959183673,198.775510204082,207.65306122449,216.530612244898,225.408163265306,234.285714285714,243.163265306122,252.040816326531,260.918367346939,269.795918367347,278.673469387755,287.551020408163,296.428571428571,305.30612244898,314.183673469388,323.061224489796,331.938775510204,340.816326530612,349.69387755102,358.571428571429,367.448979591837,376.326530612245,385.204081632653,394.081632653061,402.959183673469,411.836734693878,420.714285714286,429.591836734694,438.469387755102,447.34693877551,456.224489795918,465.102040816327,473.979591836735,482.857142857143,491.734693877551,500.612244897959,509.489795918367,518.367346938775,527.244897959184,536.122448979592,545
T0000619.sel.03.upsweep.4.1_1,95,102.836734693878,110.673469387755,118.510204081633,126.34693877551,134.183673469388,142.020408163265,149.857142857143,157.69387755102,165.530612244898,173.367346938776,181.204081632653,189.040816326531,196.877551020408,204.714285714286,212.551020408163,220.387755102041,228.224489795918,236.061224489796,243.897959183673,251.734693877551,259.571428571429,267.408163265306,275.244897959184,283.081632653061,290.918367346939,298.755102040816,306.591836734694,314.428571428571,322.265306122449,330.102040816327,337.938775510204,345.775510204082,353.612244897959,361.448979591837,369.285714285714,377.122448979592,384.959183673469,392.795918367347,400.632653061224,408.469387755102,416.30612244898,424.142857142857,431.979591836735,439.816326530612,447.65306122449,455.489795918367,463.326530612245,471.163265306122,479
T0000619.sel.02.upsweep.4.1.foraging_1,217,224.673469387755,232.34693877551,240.020408163265,247.69387755102,255.367346938776,263.040816326531,270.714285714286,278.387755102041,286.061224489796,293.734693877551,301.408163265306,309.081632653061,316.755102040816,324.428571428571,332.102040816327,339.775510204082,347.448979591837,355.122448979592,362.795918367347,370.469387755102,378.142857142857,385.816326530612,393.489795918367,401.163265306122,408.836734693878,416.510204081633,424.183673469388,431.857142857143,439.530612244898,447.204081632653,454.877551020408,462.551020408163,470.224489795918,477.897959183673,485.571428571429,493.244897959184,500.918367346939,508.591836734694,516.265306122449,523.938775510204,531.612244897959,539.285714285714,546.959183673469,554.632653061224,562.30612244898,569.979591836735,577.65306122449,585.326530612245,593
T0000618.sel.02.convex.3.1.foraging_1,101,107.938775510204,114.877551020408,121.816326530612,128.755102040816,135.69387755102,142.632653061224,149.571428571429,156.510204081633,163.448979591837,170.387755102041,177.326530612245,184.265306122449,191.204081632653,198.142857142857,205.081632653061,212.020408163265,218.959183673469,225.897959183673,232.836734693878,239.775510204082,246.714285714286,253.65306122449,260.591836734694,267.530612244898,274.469387755102,281.408163265306,288.34693877551,295.285714285714,302.224489795918,309.163265306122,316.102040816327,323.040816326531,329.979591836735,336.918367346939,343.857142857143,350.795918367347,357.734693877551,364.673469387755,371.612244897959,378.551020408163,385.489795918367,392.428571428571,399.367346938775,406.30612244898,413.244897959184,420.183673469388,427.122448979592,434.061224489796,441
T0000618.sel.02.convex.3.1.foraging_1,679,681.326530612245,683.65306122449,685.979591836735,688.30612244898,690.632653061224,692.959183673469,695.285714285714,697.612244897959,699.938775510204,702.265306122449,704.591836734694,706.918367346939,709.244897959184,711.571428571429,713.897959183673,716.224489795918,718.551020408163,720.877551020408,723.204081632653,725.530612244898,727.857142857143,730.183673469388,732.510204081633,734.836734693878,737.163265306122,739.489795918367,741.816326530612,744.142857142857,746.469387755102,748.795918367347,751.122448979592,753.448979591837,755.775510204082,758.102040816327,760.428571428571,762.755102040816,765.081632653061,767.408163265306,769.734693877551,772.061224489796,774.387755102041,776.714285714286,779.040816326531,781.367346938776,783.69387755102,786.020408163265,788.34693877551,790.673469387755,793
T0000618.sel.01.upsweep.4.1.foraging_1,115,119.591836734694,124.183673469388,128.775510204082,133.367346938776,137.959183673469,142.551020408163,147.142857142857,151.734693877551,156.326530612245,160.918367346939,165.510204081633,170.102040816327,174.69387755102,179.285714285714,183.877551020408,188.469387755102,193.061224489796,197.65306122449,202.244897959184,206.836734693878,211.428571428571,216.020408163265,220.612244897959,225.204081632653,229.795918367347,234.387755102041,238.979591836735,243.571428571429,248.163265306122,252.755102040816,257.34693877551,261.938775510204,266.530612244898,271.122448979592,275.714285714286,280.30612244898,284.897959183673,289.489795918367,294.081632653061,298.673469387755,303.265306122449,307.857142857143,312.448979591837,317.040816326531,321.632653061225,326.224489795918,330.816326530612,335.408163265306,340
T0000618.sel.01.upsweep.4.1.foraging_1,518,519.877551020408,521.755102040816,523.632653061224,525.510204081633,527.387755102041,529.265306122449,531.142857142857,533.020408163265,534.897959183673,536.775510204082,538.65306122449,540.530612244898,542.408163265306,544.285714285714,546.163265306122,548.040816326531,549.918367346939,551.795918367347,553.673469387755,555.551020408163,557.428571428571,559.30612244898,561.183673469388,563.061224489796,564.938775510204,566.816326530612,568.69387755102,570.571428571429,572.448979591837,574.326530612245,576.204081632653,578.081632653061,579.959183673469,581.836734693878,583.714285714286,585.591836734694,587.469387755102,589.34693877551,591.224489795918,593.102040816327,594.979591836735,596.857142857143,598.734693877551,600.612244897959,602.489795918367,604.367346938776,606.244897959184,608.122448979592,610
