,Timestep 1,Timestep 2,Timestep 3,Timestep 4,Timestep 5,Timestep 6,Timestep 7,Timestep 8,Timestep 9,Timestep 10,Timestep 11,Timestep 12,Timestep 13,Timestep 14,Timestep 15,Timestep 16,Timestep 17,Timestep 18,Timestep 19,Timestep 20,Timestep 21,Timestep 22,Timestep 23,Timestep 24,Timestep 25,Timestep 26,Timestep 27,Timestep 28,Timestep 29,Timestep 30,Timestep 31,Timestep 32,Timestep 33,Timestep 34,Timestep 35,Timestep 36,Timestep 37,Timestep 38,Timestep 39,Timestep 40,Timestep 41,Timestep 42,Timestep 43,Timestep 44,Timestep 45,Timestep 46,Timestep 47,Timestep 48,Timestep 49,Timestep 50
T0000635.sel.03.convex.3.1.social_1,13917.645051139,14032.4905686408,14206.5381887144,14206.5381887144,14265.0324678159,14265.0324678159,14265.0324678159,14323.76759241,14323.76759241,14323.76759241,14323.76759241,14323.76759241,14382.7445541586,14382.7445541586,14399.6644954866,14389.9959575849,14441.9643488067,14760.4755974592,15128.8312745397,15187.2095102965,15286.8653742896,15477.8793083042,15677.6133961822,15653.9959274256,15743.4821931967,15743.4821931967,15743.4821931967,15743.4821931967,15743.4821931967,15732.9423212919,15678.9254777798,15678.9254777798,15678.9254777798,15678.9254777798,15614.6334794981,15614.6334794981,15614.6334794981,15614.6334794981,15583.2726468637,15550.6051128695,15550.6051128695,15423.3349548803,15423.3349548803,15275.6020057899,15169.3716445801,15070.5001523168,14992.6724980073,14703.5433999624,14547.9779327123,14382.7445541586
T0000644.sel.02.upsweep.3.1.social_1,12610.657292567,12644.5664307124,12714.7178184305,12714.7178184305,12746.7699584118,12767.0696470666,12767.0696470666,12789.5985255306,12778.8704881668,12819.6370301493,12819.6370301493,12872.4208552065,12872.4208552065,12872.4208552065,12872.4208552065,12872.4208552065,12896.2172935884,12930.8525630353,12978.6413996438,13053.9813579422,13142.9302559991,13193.7192509363,13268.0812797571,13358.4858380974,13449.5531915949,13467.5856224874,13521.9056564192,13614.0885184132,13706.8719934354,13747.1367284215,13928.2663301209,14090.2682206562,14194.6739062595,14580.5588972357,14888.4172672149,15145.3574311516,15392.3583311369,15486.839296863,15538.8930242153,15770.2066864505,15962.9586663269,16343.820466522,16539.211986606,16681.2950945806,16845.864263871,17049.0091322099,17165.1778080085,17331.6292367854,17666.3633186529,17955.803375226
T0000644.sel.02.upsweep.3.1.social_1,11711.6126165116,11759.8342401062,11856.8739507813,11926.7599952248,11954.7144130023,11996.9051921752,12053.3622344047,12102.9909845819,12181.4173779034,12260.3139700541,12339.7427762107,12405.0842450976,12500.1216759284,12581.1084616262,12610.657292567,12692.3733221112,11862.3921923052,12819.6370301493,11379.5526436369,11466.7333048793,11520.6953756016,11568.1309128023,12978.6413996438,13093.4355220013,13232.5221641744,13357.3634325811,13523.0373237928,13578.7173430213,13690.766099441,13803.739458936,13925.8314489716,14057.3201107451,14206.5381887144,14374.3192739088,14527.0173179561,14681.2919151473,14802.4388880292,14933.364223631,15109.6979823959,15315.1020103879,15660.5939970783,16032.6195528469,16269.5974746936,16685.6194805024,16902.4234323807,17212.768094114,17903.2116480431,18093.3657962115,18545.1143688044,18863.3514979939
T0000644.sel.02.upsweep.3.1.social_1,12925.4220134207,12805.7700908731,12753.1803864081,12667.9007785233,12610.657292567,12456.1611823832,12364.5978719513,12253.1066583702,12199.7987855312,12118.2460129188,12053.3622344047,12005.9543456713,11925.702140227,11867.8334809872,11905.693676244,11881.7819739765,11856.8739507813,11856.8739507813,11808.2544123601,11759.8342401062,11776.633075378,11794.4200774304,11763.786907229,11781.5739092814,11759.8342401062,11768.7277411325,11808.2544123601,11808.2544123601,11808.2544123601,11808.2544123601,11856.8739507813,11905.693676244,11868.829801915,11905.693676244,12078.6830253115,12210.0401113122,12433.2756977043,12498.114511378,12610.657292567,12732.9507942619,12888.6456995578,12925.4220134207,13147.4417665184,13391.1744307876,13919.3868619731,14144.8439199488,14388.7873903472,14545.2954192108,14764.0381546085,14924.5855405799
T0000644.sel.02.upsweep.3.1.social_1,11808.2544123601,11835.0447702656,11851.9127733914,11856.8739507813,11856.8739507813,11808.2544123601,11841.9904186115,11808.2544123601,11856.8739507813,11856.8739507813,11856.8739507813,11808.2544123601,11827.1068864418,11808.2544123601,11808.2544123601,11869.8261228428,11905.693676244,11923.7012938287,12003.936988704,12053.3622344047,12102.9909845819,12102.9909845819,12158.9512130249,12186.5233244667,12214.1416872225,12303.5578401581,12303.5578401581,12354.2167506318,12426.9743610771,12506.4017464348,12558.9468384205,12666.8367548891,12747.8383630778,12776.724880694,12858.4169832525,12978.6413996438,13076.9778757491,13139.6179302423,13193.7192509363,13248.0433294697,13359.6082436137,13500.4039763212,13634.6266202536,13708.022414435,13874.5515252956,13974.9498359672,14226.8321222802,14489.3174229299,14555.1541191787,14741.7409545578
T0000644.sel.05.sine.4.1.social_1,13523.0373237928,12942.7997721874,15464.8071782159,14262.649841279,12068.5547089488,18273.4139017122,12806.8946380963,12267.5212817381,12283.9951370158,12205.9385354019,12858.4169832525,13193.7192509363,13412.3613028791,13523.0373237928,13714.9249404326,13974.9498359672,14193.4606655868,14952.1756873119,15622.5059690836,15990.9849236055,16845.7889515816,17601.0149701995,17868.7068241354,18103.9709368509,18265.6316357972,18543.4272663185,19020.7633842861,19175.9488634219,19175.9488634219,19254.9042915461,19254.9042915461,19254.9042915461,19175.9488634219,19019.0079583106,18863.3514979939,18786.0016461934,18708.9689702445,18638.5147655307,18555.8499488703,18253.3611464331,18029.7349523752,17910.7247519264,17882.17495717,17952.7981336727,18029.7349523752,18103.9709368509,18103.9709368509,18103.9709368509,17735.8226309761,18253.3611464331
T0000644.sel.20.sine.3.1.social_1,10101.2390650967,10310.913807928,10481.7829396333,10524.9408383844,10655.4836593737,10896.7700454883,11194.0484893713,11406.3265826921,11808.2544123601,12212.1749925656,12615.9555954022,13064.9320807074,13467.5856224874,13896.6806331612,14441.9643488067,14802.4388880292,15307.3896096423,16004.3780926757,16269.5974746936,16403.8508153027,17036.136188134,18178.5125820257,18178.5125820257,18178.5125820257,18122.2260336284,18103.9709368509,18084.2756756635,17808.8484550925,17303.9132315188,16882.5218516211,16675.6901301924,16882.5218516211,17091.9189457963,17315.5454718257,17565.6429909299,17798.4161945044,17955.803375226,18103.9709368509,18253.3611464331,18253.3611464331,17663.0962518801,16681.2950945806,15047.7401219483,15678.9254777798,16403.8508153027,16813.2944630852,17518.5369222438,18555.8499488703,19694.2219842971,20563.3272067463
T0000644.sel.20.sine.3.1.social_1,12925.4220134207,12675.4015884988,12227.5732754549,11966.7689213374,11743.1691212785,13260.5127944648,13004.8153650812,11663.5887274202,11535.2839418707,11342.5653727853,11048.5799678666,10867.5796302125,10655.4836593737,10489.7425840488,10438.8020113995,10395.997328009,10395.997328009,10422.2042770236,10438.8020113995,10501.1599553991,10540.8600376241,10655.4836593737,10743.4104983322,11011.5683372195,11151.9016740276,11377.648061383,11694.0434283023,11827.2287805222,12174.3276766443,12285.0247529707,12691.3092984769,13003.724783188,13412.3613028791,13725.349780919,13899.1684821941,14206.5381887144,14764.268935854,15418.2038527267,15788.5423446594,15873.3941397304,16118.8881052699,16313.3452362527,16991.9192146927,17196.9046654121,17290.9998679463,17614.3181019882,17808.8484550925,18041.8551131059,18184.6226689161,18328.5178937882
T0000644.sel.20.sine.3.1.social_1,16336.5862345809,16044.299537998,15490.8660591195,15146.5699641691,14924.5855405799,14520.9246175378,14241.1572518561,14065.6077678681,13860.5752466437,13712.6240984334,13634.6266202536,13574.1720353292,13512.8523174306,13412.3613028791,13396.6476256511,13302.59108303,13343.9497959563,13248.0433294697,13314.8869166027,13355.127826477,13357.3634325811,13436.0288684255,13476.638961476,13628.9215919646,13670.143433617,13824.6179115633,13917.645051139,14071.4407292784,14181.5720081981,14283.0126079978,14382.7445541586,14474.7847590065,14651.8056297848,14771.5317592448,14924.5855405799,15074.3660794078,15199.958311082,15308.6750097665,15486.839296863,15592.419556382,15768.6174570247,15946.7874656741,16060.8610130182,16175.7648304966,16291.4713554731,16471.392352529,16593.4131327855,16712.1223987157,16882.5218516211,17091.9189457963
T0000644.sel.20.sine.3.1.social_1,15423.3349548803,14924.5855405799,14561.1364402983,14323.76759241,14148.2837675098,14032.4905686408,13917.645051139,13803.739458936,13803.739458936,13917.645051139,13974.9498359672,14206.5381887144,14501.4279761994,14501.4279761994,14681.2919151473,14863.386740363,15047.7401219483,15360.0910147377,15614.6334794981,16070.2748330753,16269.5974746936,16539.211986606,16675.6901301924,16882.5218516211,17091.9189457963,17232.9579124617,17375.1607033988,17518.5369222438,17663.0962518801,17808.8484550925,17955.803375226,18253.3611464331,18403.9840930097,18479.7610182406,18555.8499488703,18632.2521695561,18708.9689702445,18786.0016461934,18786.0016461934,18786.0016461934,18863.3514979939,18863.3514979939,18786.0016461934,18786.0016461934,18786.0016461934,18708.9689702445,18708.9689702445,18708.9689702445,18632.2521695561,18632.2521695561
