,Timestep 1,Timestep 2,Timestep 3,Timestep 4,Timestep 5,Timestep 6,Timestep 7,Timestep 8,Timestep 9,Timestep 10,Timestep 11,Timestep 12,Timestep 13,Timestep 14,Timestep 15,Timestep 16,Timestep 17,Timestep 18,Timestep 19,Timestep 20,Timestep 21,Timestep 22,Timestep 23,Timestep 24,Timestep 25,Timestep 26,Timestep 27,Timestep 28,Timestep 29,Timestep 30,Timestep 31,Timestep 32,Timestep 33,Timestep 34,Timestep 35,Timestep 36,Timestep 37,Timestep 38,Timestep 39,Timestep 40,Timestep 41,Timestep 42,Timestep 43,Timestep 44,Timestep 45,Timestep 46,Timestep 47,Timestep 48,Timestep 49,Timestep 50
T0000866.sel.03.upsweep.2.5.traveling_1,12930.3589075525,12821.5786609211,12571.0847229564,12456.4796919467,12465.2587054757,12430.1426513597,12438.9216648887,12491.5957460627,12553.352657299,12677.7839449234,12875.9687842368,13021.817357715,13123.0869052047,13262.5257985032,13450.7049651464,13574.4842143931,13651.1887609542,13786.5020148316,13884.0160990464,14011.7550858968,14140.6622932966,14200.5425959111,14331.2221778343,14463.0971765726,14668.340160041,14834.7563465121,15183.6664820588,15453.3379157379,15672.6020510181,15895.0246164794,16120.5957869005,16349.3600089892,16581.3623549183,16816.6485310966,17055.2648870618,17297.2584244986,17629.4669375271,17968.046909453,18223.0279491137,18390.6968670009,18559.8992770603,18743.9339856693,19184.7104903763,19901.0561466749,20454.9658459246,20657.719469439,20906.6863463502,21308.1747362792,21672.2886591189,22799.1440706856
T0000866.sel.02.upsweep.2.5.traveling_1,11890.4923369184,11831.9964036125,11831.9964036125,11831.9964036125,11836.7715818416,11902.5189579837,11956.5112330107,12067.7210430648,12127.3823699626,12258.7128925168,12368.9918785478,12457.8020404481,12693.1335129476,11419.2492628784,11617.2629459631,11675.8735257724,11792.7949901839,11969.773137518,12067.7210430648,12090.8550269639,12151.8543230857,12067.7210430648,12389.7630116915,13054.7430423543,13384.5334797054,13585.5633731873,13854.6607832145,13999.2023240531,14210.7200069088,14454.3724227866,14599.1155294731,14818.2069012906,14966.5930686161,15116.464988514,15290.8653694465,15420.7257347712,15575.1447592666,15731.1099356025,16010.9078700034,16286.9336328108,16845.5271584898,17029.5388026558,17200.0670086129,17555.0753965457,18046.2531035518,18603.0187511765,18984.9991273106,19275.6860369102,20047.4141526976,20759.8486908413
T0000865.sel.03.upsweep.2.5.traveling_1,9618.38323690654,9950.24293798268,10098.5371044712,10154.5800917805,10242.8788826911,10305.9348919125,10305.9348919125,10276.9631116262,10153.6815492568,9983.34828276382,10063.2748000396,10305.1461322559,10525.0433454896,10806.4419390761,10949.7356144909,11101.7069228492,11263.769676263,11923.5238723566,13988.8229678433,14329.7823243132,14853.0083128756,15119.5052308378,15389.8472791453,15686.9892838993,15947.9298451394,16138.6085667634,16336.2005775439,16628.106863172,16875.9500795436,17043.227798541,17226.0566384428,17391.5431539492,17641.8655276906,17813.1663826511,18075.0331796951,18248.6961221833,18496.5958974343,18625.3481543508,18779.7501947705,18866.9014475031,18851.7187279925,18809.9662493384,18809.9662493384,18902.9604063407,19054.0560013428,19398.3311318832,19470.6600811635,19470.6600811635,19464.7955717624,19279.5573367627
T0000865.sel.03.upsweep.2.5.traveling_1,14772.0036364211,14918.4266266334,14978.6346791118,15008.8205621804,15113.4247461903,15143.8422000112,15249.4152691403,15290.8653694465,15366.4615250173,15366.4615250173,15372.6631489892,15442.4314186728,15442.4314186728,15442.4314186728,15496.9639039981,15528.1715416512,15595.4998202332,15595.4998202332,15622.2495737708,15672.6020510181,15762.7983609513,15827.9519489196,15904.6064261308,15984.8417054036,15984.8417054036,16159.574424889,16321.5499712225,16466.5647519016,15422.097922197,13865.8437606743,13837.968839937,13742.2091445883,13647.0770603498,13584.0309844148,13584.0309844148,13603.2189205689,13839.9010836654,14355.8066405361,15535.9289345501,16621.4290762787,16820.0371910078,16937.2475140584,17236.536511769,17382.7739402797,17548.042684045,17618.997195652,17797.0585273819,18054.0739193571,18772.1961811285,18902.9604063407
T0000865.sel.01.upsweep.2.5.traveling_1,14992.1814909194,14992.1814909194,15066.3009901727,15131.6662001326,15290.8653694465,15426.9273587431,15595.4998202332,15595.4998202332,15595.4998202332,15595.4998202332,15595.4998202332,15595.4998202332,15712.134405467,16143.2865838496,16223.0970049429,16334.5556486133,16603.2054724854,17127.4874181869,17127.4874181869,17297.2584244986,17297.2584244986,17382.7739402797,17459.9430205714,17468.7122342409,17553.3128830293,17555.0753965457,17977.1593369906,18524.4158835831,18533.7197261441,18533.7197261441,18768.5213708718,18996.4143150045,18996.4143150045,19028.9973938979,19206.1835677613,19470.6600811635,19663.6570733565,19760.8717726749,19760.8717726749,19858.5670894963,19894.6325912899,20055.4090918505,20154.5605649106,20254.2022306446,20354.3365125048,20471.4763491823,20772.4161360288,21286.7060835398,21926.0170263099,22353.7973480772
T0000865.sel.02.upsweep.3.5.travling_1,23253.3632770269,23441.5199189557,23705.3018755141,23939.9535238053,24294.4344348518,24935.7459620507,25137.3526202008,25340.7078474111,25748.5954255236,26271.9761398244,26761.5938280434,27086.422646082,27308.300309039,27529.168045432,27692.8900360177,27838.3723950934,28063.2506156033,28290.1891635862,28519.0397519642,28895.7438807807,29221.9699497674,29360.6258154097,29597.863975495,29723.2503707495,29930.6740268735,30481.8911599477,31141.1183496437,31266.6899326409,31392.8511398086,31624.6416074249,32035.9066364782,32407.3646440801,32538.0540668897,32669.2922782799,32679.1351441341,32771.4560699974,32840.6967643948,32873.8315319494,33003.0571254123,33003.0571254123,33109.6125870616,33398.2596996215,33755.8938504167,34011.3646641211,34148.5591252641,34286.3640316776,34995.6322362184,35797.1223670422,36444.96824424,37333.5579186656
T0000865.sel.08.sine.3.5.traveling_1,12677.7839449234,12477.8001533743,12341.6714981269,12267.3629758854,12247.5913567571,12179.9970691773,11987.8575527553,11857.0660893151,11669.9922143863,11541.4928632793,11304.6782192264,11210.7464008666,11152.0916138448,11047.091462922,11034.8741635441,10988.3100049981,10988.3100049981,10988.3100049981,11097.2282836495,11097.2282836495,11207.2261815891,11207.2261815891,11314.9053549673,11392.6779361466,11725.6085595319,12021.7939421091,12523.2529383192,12942.1585808781,13253.1655101638,13656.804872324,14322.5830567072,14549.2284726505,14785.4174875122,14978.7835097107,15140.7869271038,15204.9476581594,15209.5305675205,15095.2954670473,14879.4839204667,14662.5245161492,14275.0892810765,13895.2678455997,13622.406856723,13584.0309844148,13584.0309844148,13584.0309844148,13584.0309844148,13651.1887609542,13651.1887609542,13584.0309844148
T0000865.sel.08.sine.3.5.traveling_1,11773.788244279,11877.3605967885,11949.2774669158,11930.0823224269,11831.9964036125,11780.9157739933,11678.2260503269,11658.2295916141,11681.8129901171,11830.8084819935,11876.1668022313,11795.144619811,11985.5357045124,12373.9837783691,12482.8167325337,12592.6165169691,12729.0756489611,12826.7586726655,13053.2957978571,13218.6548598685,13386.0433635429,13555.4850704609,13794.8686171984,13923.1565201557,14146.4984436556,14740.0130436575,15177.6317594162,15873.1579738312,16781.765477882,17125.9718679987,17319.9462143997,17389.8066527803,17697.1238390041,17780.959472134,17849.0924444523,18006.0462363009,18164.3939180958,18144.3252846794,18171.6916029745,18171.6916029745,18082.2949632103,18082.2949632103,18133.3787573613,18171.6916029745,18182.6922485758,18261.5302087181,18261.5302087181,18565.9609525143,18830.8424886655,18902.9604063407
T0000865.sel.08.sine.3.5.traveling_1,13786.5020148316,13332.7404559262,12956.6453283098,12697.0778817703,12566.0184184829,12508.2030788293,12326.7694724428,12118.8593232629,12032.5849865033,11946.8780738547,11833.3311486869,11719.4126759172,11613.860925359,11496.2866498808,11430.5037469971,11389.1897105519,11318.3144002143,11283.0875993291,11262.6333278473,11233.2336175879,11207.2261815891,11207.2261815891,11207.2261815891,11207.2261815891,11207.2261815891,11219.664520545,11300.1328255638,11332.0518712489,11495.2473981617,11659.4058538913,11770.376424617,12048.4782153544,12330.4949788638,12519.4904734467,12711.1235525479,12894.098825342,13015.3138907098,13162.8086964921,13261.2084470745,13452.2223136636,13645.7199786403,13842.2793639435,14101.0357110459,14428.7654245102,14681.622355413,14875.0645805029,15138.1143055584,15450.2217737193,15603.5376966593,15906.203394406
T0000865.sel.08.sine.3.5.traveling_1,12187.3386551142,12078.6792459644,12149.4071277734,12187.3386551142,12143.2891394926,12127.3823699626,12127.3823699626,12110.3362765632,12039.8545154471,12047.1240443908,12018.0459286158,12007.147595675,11949.2774669158,11949.2774669158,11949.2774669158,11993.8856911677,12008.3532233575,12008.3532233575,12026.5270457169,12337.0042357461,12430.1426513597,12491.5957460627,12494.1164363172,13052.4010405194,13666.6722213196,13854.6607832145,14045.6365618578,14130.6822428609,14503.9639124112,14723.0614797496,14882.4795132487,15117.9851096759,15423.8723106043,15523.4742198897,15691.5775811536,16235.7408189216,16678.4378710435,16942.3556336013,17043.227798541,17212.1636070172,17182.7861537496,17127.4874181869,17067.3019755827,16967.9383211725,16869.1727597211,16792.9279117178,16673.4047702564,16628.106863172,16561.3289942382,16546.3039737281
