"behavior","group","start","end","delta","mean","sd"
"Traveling","Group1",15234.3800732028,22233.0432133261,6998.6631401233,17877.0496668865,1675.47430128964
"Traveling","Group1",21960.6610040313,21250.5119444763,710.149059554999,17283.2967770155,2079.39608422129
"Traveling","Group1",20395.0316398927,19097.3171948727,1297.71444502,17606.7884526679,1695.56086636629
"Traveling","Group1",18479.7610182406,23070.6284197165,4590.8674014759,18262.5838438508,1203.79599341194
"Traveling","Group1",20818.3780221109,20479.0065433618,339.371478749101,17392.0526099241,1619.67292312185
"Traveling","Group1",19019.0079583106,21076.5922807143,2057.5843224037,17493.6045232811,1214.25532626988
"Traveling","Group1",20062.5613562129,21691.6158128509,1629.054456638,18292.0354714544,1516.19182254456
"Traveling","Group1",20062.5613562129,17518.5369222438,2544.0244339691,17955.3461285564,552.56815067233
"Traveling","Group1",17663.0962518801,20647.9950536848,2984.8988018047,19007.1766825942,953.311889974081
"Traveling","Group1",17375.1607033988,22508.8038303986,5133.6431269998,20125.7282144052,1660.26842864309
"Traveling","Group1",20818.3780221109,20990.1669554191,171.788933308198,20946.300031171,57.1647025859497
"Traveling","Group1",21163.3734553397,22141.8758193555,978.5023640158,21717.1626543025,286.425151185379
"Traveling","Group1",22601.4820209617,22508.8038303986,92.6781905630996,22604.3814096525,47.2698984864821
"Traveling","Group1",22508.8038303986,18555.8499488703,3952.9538815283,18131.1277113297,1524.95424120435
"Traveling","Group1",9419.72287957107,13248.0433294697,3828.32044989863,11626.0097310003,705.919762047734
"Traveling","Group1",10481.7829396333,17955.803375226,7474.0204355927,13040.542013389,2259.70982370672
"Traveling","Group1",14441.9643488067,20733.0115136775,6291.0471648708,17402.6304389395,1821.79877485033
"Traveling","Group1",21425.866757196,20904.0960202812,521.770736914801,17246.867036574,1299.73513372301
"Traveling","Group1",18178.5125820257,20062.5613562129,1884.0487741872,18021.9352588965,1290.3303771841
"Traveling","Group1",18863.3514979939,19413.7917642245,550.440266230602,18154.419690979,1429.44092387287
"Traveling","Group1",20062.5613562129,20647.9950536848,585.433697471901,16700.1155916774,1635.20569633269
"Traveling","Group1",19735.5108478725,18403.9840930097,1331.5267548628,17492.8673348654,1262.86202495594
"Traveling","Group1",18632.2521695561,21960.6610040313,3328.4088344752,18643.2304913793,1485.94022399685
"Traveling","Group1",17735.8226309761,20647.9950536848,2912.1724227087,17134.747929737,1284.27368677075
"Traveling","Group1",18029.7349523752,21163.3734553397,3133.6385029645,18903.8787642605,968.542953460248
"Traveling","Group1",16202.8834046274,20818.3780221109,4615.4946174835,17156.0441421988,1287.00341320275
"Traveling","Group1",17375.1607033988,20228.1134473101,2852.9527439113,17991.0795661833,835.730953355048
"Traveling","Group1",16269.5974746936,20479.0065433618,4209.4090686682,16885.7615594426,1031.3705801244
"Traveling","Group1",18863.3514979939,22233.0432133261,3369.6917153322,18580.350826534,1282.82174069999
"Traveling","Group1",22787.9847582759,20733.0115136775,2054.9732445984,17875.7876151911,1419.89261383002
"Traveling","Group1",21250.5119444763,18708.9689702445,2541.5429742318,17783.8328323941,1399.78626690165
"Traveling","Group1",19334.1848122994,20563.3272067463,1229.1423944469,17979.6062393453,1827.22602507385
"Traveling","Group1",18328.5178937882,19573.9903433406,1245.4724495524,17639.1421776998,1407.9638893529
"Traveling","Group1",18403.9840930097,19980.2941012235,1576.3100082138,18200.0612266493,1445.6002528241
"Traveling","Group1",17808.8484550925,19980.2941012235,2171.445646131,18518.0240925862,688.840619796338
"Traveling","Group1",9977.48642418447,17808.8484550925,7831.36203090803,12693.3052214623,1389.51035065696
"Traveling","Group1",19097.3171948727,18941.0198315918,156.297363280901,16889.375688724,1040.43104850949
"Traveling","Group6",7516.43071232458,17297.2584244986,9780.82771217402,11153.1058644267,2319.94899396459
"Traveling","Group6",8295.60043939682,19566.9206271169,11271.3201877201,11762.0842818845,3065.34904523991
"Traveling","Group6",7479.45321659202,18533.7197261441,11054.2665095521,10582.2782195666,2395.17303148159
"Traveling","Group6",7553.59102024289,17993.3381151493,10439.7470949064,10677.601362488,2288.06099147273
"Traveling","Group6",2382.15659353921,14918.4266266334,12536.2700330942,8931.90256592086,3525.99903716679
"Traveling","Group6",33330.1898847449,28888.5234651506,4441.6664195943,34271.9311076034,3193.89637277892
"Traveling","Group6",8377.82805400075,17043.227798541,8665.39974454025,11523.8280750196,2297.0476085262
"Traveling","Group6",3881.58710192509,17127.4874181869,13245.9003162618,9700.16677365941,3250.40427739762
"Traveling","Group6",2417.66282145208,16303.3019989308,13885.6391774787,8402.90109283806,3024.35004328196
"Traveling","Group6",3364.31686899304,13253.1655101638,9888.84864117076,9569.46999379653,2907.97770859585
"Traveling","Group6",26696.6280644357,37149.8934199887,10453.265355553,31696.9142685378,2182.90177070537
"Traveling","Group6",4918.31271070241,13584.0309844148,8665.71827371239,9847.75764844558,2482.49590445444
"Traveling","Group6",8758.05600550774,14772.0036364211,6013.94763091336,10709.4270981031,2137.46643061674
"Traveling","Group6",7261.37724273123,15066.3009901727,7804.92374744147,9216.64191121276,2761.35979552246
"Traveling","Group6",3787.0435044614,11949.2774669158,8162.2339624544,8811.35420461129,2207.29018665972
"Traveling","Group6",2959.44228928416,11543.8051365352,8584.36284725104,8079.86443164395,2777.8926058037
"Traveling","Group6",4751.42063527186,13651.1887609542,8899.76812568234,8798.2547698223,2520.20960360637
"Traveling","Group6",4412.61821957377,14200.5425959111,9787.92437633733,9650.27209410961,2334.31704225531
"Traveling","Group6",5454.99194960997,11543.8051365352,6088.81318692523,8603.49336263371,1849.09849795405
